Study_ID,Species_scientific_name,Species_common_name,Comment
S_010,Macaca fascicularis,Cynomolgus monkey,The authors did not report the scientific name
S_010,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name
S_010,Mus musculus,CD1 mice,The authors did not report the scientific name
S_010,Mus musculus,C57Bl/6 mice,The authors did not report the scientific name
S_017,Pygoscelis papua,Gentoo penguin,na
S_017,Pygoscelis adeliae,Adelie penguin,na
S_017,Pygoscelis antarctica,Chinstrap penguin,na
S_017,Eudyptula minor,Little penguin,na
S_017,Diomedea exulans,Wandering albatross,na
S_017,Thalassarche chlororhynchos,Atlantic yellow-nosed albatross,na
S_017,Macronectes giganteus,Southern giant petrel,na
S_017,Macronectes halli,Northern giant petrel,na
S_017,Fulmarus glacialis,Northern fulmar,na
S_017,Pagodroma nivea,Snow petrel,na
S_017,Pelecanus erythrorhynchos,American white pelican,na
S_017,Phalacrocorax auritus,Double-crested cormorant,na
S_017,Phalacrocorax carbo,Great cormorant,na
S_017,Stercorarius maccormicki,South polar skua,na
S_017,Stercorarius lonnbergi,Brown skua,na
S_017,Larus audouinii,Audouin's gull,na
S_017,Larus marinus,Great black-backed gull,na
S_017,Larus michahellis,Yellow-legged gull,na
S_017,Larus hyperboreus,Glaucous gull,na
S_017,Larus argentatus,Herring gull,na
S_017,Larus fuscus,Lesser black-backed gull,na
S_017,Rissa tridactyla,Black-legged kittiwake,na
S_017,Hydroprogne caspia,Caspian tern,na
S_017,Sterna forsteri,Forster's tern,na
S_017,Alle alle,Little auk,na
S_017,Uria lomvia,Br�nnich's guillemot,na
S_017,Fratercula arctica,Atlantic puffin,na
S_036,Pusa hispida,Ringed seal,The authors did not report the scientific name
S_036,Leptonychotes weddellii,Weddell Seals,The authors did not report the scientific name
S_036,Phoca vitulina,Harbor Seals,The authors did not report the scientific name
S_036,Halichoerus grypus,Grey Seals,The authors did not report the scientific name
S_036,Phocoena phocoena,Harbor Propoise,The authors did not report the scientific name
S_036,Phocoenoides dalli,Dall's Porpoise,The authors did not report the scientific name
S_036,Delphinus truncatus,Common Bottlenose Dolphins,The authors did not report the scientific name
S_036,Lagenorhynchus acutus,Atlantic white-sided Dolphin,The authors did not report the scientific name
S_036,Steno bredanensis,Rough-toothed Dolphin,The authors did not report the scientific name
S_036,Sousa chinensis,Indo-Pacific hump-backed Dolphin,The authors did not report the scientific name
S_036,Neophocaena phocaenoides,Indo-Pacific finless porpoise,The authors did not report the scientific name
S_036,Delphinapterus leucas,Beluga whale,The authors did not report the scientific name
S_036,Monodon monoceros,Narwhal,The authors did not report the scientific name
S_036,Globicephala,Pilot whale,The authors did not report the scientific name
S_036,Lagenorhynchus obliquidens,Pacific white-sided dolphin,The authors did not report the scientific name
S_036,Cystophora cristata,Hooded seal,The authors did not report the scientific name
S_036,Balaenoptera,Minke whale,The authors did not report the scientific name
S_036,Balaenoptera physalus,Fin whale,The authors did not report the scientific name
S_036,Delphinus capensis,Long-beaked Common Dolphin,The authors did not report the scientific name
S_036,Stenella coeruleoalba,Striped Dolphin,The authors did not report the scientific name
S_036,Globicephala melas,Long-finned Pilot Whale,The authors did not report the scientific name
S_036,Peponocephala electra,Melon-headed Whale,The authors did not report the scientific name
S_036,Orcinus orca,Killer Whale,The authors did not report the scientific name
S_036,Pusa sibirica,Baikal Seal,The authors did not report the scientific name
S_036,Phocidae,Elephant Seal,The authors did not report the scientific name
S_036,Sotalia fluviatilis,Tucuxi Dolphin,The authors did not report the scientific name
S_036,Kogia breviceps,Pygmy Sperm Whale,The authors did not report the scientific name
S_036,Stenella clymene,Short-snouted Spinner Dolphin,The authors did not report the scientific name
S_036,Steno bredanensis,Rough-toothed Dolphin,The authors did not report the scientific name
S_036,Lagenorhynchus albirostris,White-beaked dolphin,The authors did not report the scientific name
S_036,Grampus griseus,Risso's dolphin,The authors did not report the scientific name
S_036,Physeter macrocephalus,Sperm whale,The authors did not report the scientific name
S_036,Pagophilus groenlandicus,Harp seal,The authors did not report the scientific name
S_036,Ursus maritimus,Polar bear,The authors did not report the scientific name
S_036,Vulpes lagopus,Arctic fox,The authors did not report the scientific name
S_036,Larus argentatus,Herring Gull,The authors did not report the scientific name
S_036,Larus crassirostri,Black-tailed Gull,The authors did not report the scientific name
S_036,Phoebastria immutabilis,Laysan albatross,The authors did not report the scientific name
S_036,Phoebastria nigripes,Black-footed albatross,The authors did not report the scientific name
S_036,Haliaeetus leucocephalus,Bald Eagle,The authors did not report the scientific name
S_036,Phoebastria immutabilis,Laysan Albatrosses,The authors did not report the scientific name
S_036,Haliaeetus albicilla,White-tailed eagle,The authors did not report the scientific name
S_036,Pelecanus occidentalis,Brown pelican,The authors did not report the scientific name
S_036,Thalasseus maximus,Royal tern,The authors did not report the scientific name
S_036,Puffinus gravis,Great shearwater,The authors did not report the scientific name
S_036,Panthera tigris tigris,Bengal Tiger,The authors did not report the scientific name
S_036,Panthera leo,African Lion,The authors did not report the scientific name
S_036,Panthera tigris altaica,Amur tiger,The authors did not report the scientific name
S_036,Ardea cinerea,Grey Heron,The authors did not report the scientific name
S_036,Accipiter nisus,Eurasian Sparrowhawk,The authors did not report the scientific name
S_036,Pica pica,Eurasian magpie,The authors did not report the scientific name
S_036,Streptopelia decaocto,Eurasian Collard Dove,The authors did not report the scientific name
S_036,Accipiter gentilis,Northern goshawk,The authors did not report the scientific name
S_036,Strigiformes,Rural owl,The authors did not report the scientific name
S_036,Falco tinnunculus,Common kestrel,The authors did not report the scientific name
S_036,Accipiter gularis,Japanese sparrowhawk,The authors did not report the scientific name
S_036,Ninox scutulata,Brown hawk-owl,The authors did not report the scientific name
S_036,Bubo bubo,Eurasian eagle-owl,The authors did not report the scientific name
S_036,Otus lettia,Collared scops-owl,The authors did not report the scientific name
S_036,Larus crassirostris,Black-tailed gull,The authors did not report the scientific name
S_036,Ninox scutulata,Brown hawk-owl,The authors did not report the scientific name
S_036,Aegypius monachus,Cinereous vulture,The authors did not report the scientific name
S_036,Buteo buteo,Common buzzard,The authors did not report the scientific name
S_036,Canis lupus,Wolf,The authors did not report the scientific name
S_036,Panthera tigris altaica,Siberian tiger,The authors did not report the scientific name
S_046,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name
S_046,Mus musculus,CD1 mice,The authors did not report the scientific name
S_046,Rattus norvegicus,Albino Wistar rat,The authors did not report the scientific name
S_046,Mus musculus,Kumming mice,The authors did not report the scientific name
S_046,Danio rerio,Zebrafish,The authors did not report the scientific name
S_046,Dugesia japonica,Planarian,The authors did not report the scientific name
S_046,Glyptocidaris crenularis,Sea urchin,The authors did not report the scientific name
S_050,Mus musculus,CD1 mice,The authors did not report the scientific name
S_050,Mus musculus,C57Bl/6 mice,The authors did not report the scientific name
S_050,Mus musculus,Kumming mice,The authors did not report the scientific name
S_050,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name
S_050,Mus musculus,BALB/c mice,The authors did not report the scientific name
