Authors,Title,Year,DOI,Link,Abstract,Index Keywords
"Zare Jeddi M., Soltanmohammadi R., Barbieri G., Fabricio A.S.C., Pitter G., Dalla Zuanna T., Canova C.","To which extent are per-and poly-fluorinated substances associated to metabolic syndrome?",2022,"10.1515/reveh-2020-0144","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107064088&doi=10.1515%2freveh-2020-0144&partnerID=40&md5=336bea02fcb2e0b3589b0d733435fb3a","Exposure to per-and polyfluoroalkyl substances (PFAS), ubiquitous persistent environmental contaminants, has led to substantial global concern due to their potential environmental and human health effects. Several epidemiological studies have assessed the possible association between PFAS exposure and risk of metabolic syndrome (MetS), however, the results are ambiguous. The aim of this study was to assess the current human epidemiologic evidence on the association between exposure to PFAS and MetS. We performed a systematic search strategy using three electronic databases (PubMed, Scopus, and Web of Science) for relevant studies concerning the associations of PFAS with MetS and its clinical relevance from inception until January 2021. We undertook meta-analyses where there were five or more studies with exposure and outcomes assessments that were reasonably comparable. The pooled odd ratios (ORs) were calculated using random effects models and heterogeneity among studies was assessed by I2 index and Q test. A total of 12 cross-sectional studies (10 studies on the general population and two studies in the occupational settings) investigated the association between PFAS exposure and MetS. We pooled data from seven studies on the general population for perfluorooctanoic acid (PFOA) and perfluorooctanesulfonate (PFOS) and five studies for perfluorohexanesulfonate (PFHxS) and perfluorononanoic acid (PFNA). Predominately, most studies reported no statistically significant association between concentrations of PFAS and MetS. In the meta-analysis, the overall measure of effect was not statistically significant, showing no evidence of an association between concentrations of PFOA, PFOS, PFNA, and PFHxS and the risk of MetS. Based on the results of the meta-analysis, current small body of evidence does not support association between PFAS and MetS. However, due to limited number of studies and substantial heterogeneity, results should be interpreted with caution. Further scrutinizing cohort studies are needed to evaluate the association between various and less well-known PFAS substances and their mixture with MetS and its components in both adults and children in different settings. © 2021 Maryam Zare Jeddi et al., published by De Gruyter, Berlin/Boston.","fluorocarbon; adult; child; cohort analysis; cross-sectional study; human; meta analysis; metabolic syndrome X; pollutant; toxicity; Adult; Child; Cohort Studies; Cross-Sectional Studies; Environmental Pollutants; Fluorocarbons; Humans; Metabolic Syndrome"
"Barhoumi B., Sander S.G., Tolosa I.","A review on per- and polyfluorinated alkyl substances (PFASs) in microplastic and food-contact materials",2022,"10.1016/j.envres.2021.112595","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121443337&doi=10.1016%2fj.envres.2021.112595&partnerID=40&md5=051902d0f10e11791187b006da2c772e","Plastic, paper and cardboard are widely used as food contact materials (FCMs), due to its numerous favourable characteristics. However, they are usually coated with hazardous substances, such as per- and polyfluorinated alkyl substances (PFASs). PFASs, with its functional properties of oil- and water-repellency, can migrate from FCMs into the food and cause potential risk to human health. There are also increasing concerns about the harm that FCMs can cause to the environment. These concerns include accumulation of non-degradable plastics in the environment, generation of microplastics (MPs) and nanoplastics, and release of PFASs from FCMs. While many reviews have been conducted on PFASs in the environment, including their occurrence, fate, toxicity, biodegradation, migration in ecosystems and remediation technologies, a systematic review of PFASs in FCMs and MPs is currently lacking. In addition, our knowledge of the PFAS sorption processes on MPs is rather limited, and in particular their desorption processes. Thus, this review aims to (1) review the presence of various classes of PFASs in FCMs and their migration into food, (2) review the PFASs in MPs and summarize the sorption mechanisms, and factors that influence their sorption behaviour on MPs in the aquatic environment, and (3) identify the current research gaps and future research directions to predict the risks associated with the presence and sorption of PFASs in FCMs and MPs. © 2021 Elsevier Inc.","acetic acid; alcohol derivative; carboxylic acid; fluorotelomer alcohol; inorganic compound; microplastic; nanoplastic; organofluorine derivative; organophosphate; perfluoro compound; phosphinic acid derivative; phosphonic acid derivative; polymer; sulfonic acid derivative; unclassified drug; fluorocarbon; plastic; biodegradation; chemical substance; desorption; health risk; mortality risk; plastic; risk; risk factor; adsorption; aquatic environment; biodegradation; butter; cereal; classification; dangerous goods; desorption; ecosystem restoration; ecotoxicology; environmental factor; fluorination; food; food packaging; health hazard; hydrophobicity; information retrieval; microplastic pollution; milk; nonhuman; pollution transport; Review; ScienceDirect; search engine; static electricity; Web of Science; ecosystem; human; water pollutant; Ecosystem; Fluorocarbons; Humans; Microplastics; Plastics; Water Pollutants, Chemical"
"DeLuca N.M., Minucci J.M., Mullikin A., Slover R., Cohen Hubal E.A.","Human exposure pathways to poly- and perfluoroalkyl substances (PFAS) from indoor media: A systematic review",2022,"10.1016/j.envint.2022.107149","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125391643&doi=10.1016%2fj.envint.2022.107149&partnerID=40&md5=067bd4c84c1b1c0f47b84a8c1a1196eb","Background: Human exposure to per- and polyfluoroalkyl substances (PFAS) has been primarily attributed to contaminated food and drinking water. There is information indicating other sources and pathways of exposure in residential environments, but few studies report relationships between these indoor media and human biomonitoring measurements. Methods: This study adapts existing systematic review tools and methodologies to synthesize evidence for PFAS exposure pathways from indoor environment media including consumer products, household articles, cleaning products, personal care products, and indoor air and dust. Studies were identified using innovative machine learning approaches and pathway-specific search strings to reduce time needed for literature search and screening. The included studies and systematic review were evaluated using tools modified specifically for exposure studies. The systematic review was conducted following a previously published protocol (DeLuca et al., 2021) that describes the systematic review methodology used in detail. Results: Only 7 studies were identified that measured the targeted subset of 8 PFAS chemicals in concordant household media (primarily house dust) and participant serum. Data extracted from the included studies were used to calculate exposure intake rates and estimate a percentage of occupant serum concentrations that could be attributed to the indoor exposure pathways. These calculations showed that exposure to PFOA, PFOS, PFNA, and PFHxS from contaminated house dust could account for 13%, 3%, 7%, and 25% of serum concentrations, respectively. Inhalation of PFAS in indoor air could account for less than 4% of serum PFOA concentrations and less than 2% of serum PFOS and PFNA concentrations. A risk of bias was identified due to participant profiles in most of the studies being skewed towards white, female, and higher socioeconomic status. Conclusions: Along with synthesizing evidence for estimated contributions to serum PFAS levels from indoor exposure media, this systematic review also identifies a consistent risk of bias across exposure study populations that should be considered in future studies. It highlights a major research gap and need for studies that measure concordant data from both indoor exposure media and participant serum and the need for continued research on exposure modeling parameters for many PFAS chemicals. © 2022","Dust; Potable water; Risk perception; Exposure pathways; House dust; Human exposures; Indoor air; Indoor exposure; Perfluoroalkyl substances; Polyfluoroalkyl substances; Residential environment; Serum concentration; Systematic Review; Consumer products; cosmetic; perfluorononanoic acid; perfluorooctanesulfonic acid; perfluorooctanoic acid; alkanesulfonic acid; drinking water; fluorocarbon; biomonitoring; concentration (composition); dust; indoor air; organohalogen; pollution exposure; ambient air; Article; artificial intelligence; blood sampling; Caucasian; cleaning; concentration (parameter); consumer; environmental exposure; evidence based practice; house dust; household; human; indoor environment; inhalation; machine learning; population structure; risk factor; sex difference; social participation; social status; systematic review; biological monitoring; chemistry; culture medium; dust; female; pollutant; Alkanesulfonic Acids; Biological Monitoring; Culture Media; Drinking Water; Dust; Environmental Pollutants; Female; Fluorocarbons; Humans"
"Guo P., Furnary T., Vasiliou V., Yan Q., Nyhan K., Jones D.P., Johnson C.H., Liew Z.","Non-targeted metabolomics and associations with per- and polyfluoroalkyl substances (PFAS) exposure in humans: A scoping review",2022,"10.1016/j.envint.2022.107159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125230657&doi=10.1016%2fj.envint.2022.107159&partnerID=40&md5=f6aacbf350aa69eabf53fa8482990e38","Objective: To summarize the application of non-targeted metabolomics in epidemiological studies that assessed metabolite and metabolic pathway alterations associated with per- and polyfluoroalkyl substances (PFAS) exposure. Recent Findings: Eleven human studies published before April 1st, 2021 were identified through database searches (PubMed, Dimensions, Web of Science Core Collection, Embase, Scopus), and citation chaining (Citationchaser). The sample sizes of these studies ranged from 40 to 965, involving children and adolescents (n = 3), non-pregnant adults (n = 5), or pregnant women (n = 3). High-resolution liquid chromatography–mass spectrometry was the primary analytical platform to measure both PFAS and metabolome. PFAS were measured in either plasma (n = 6) or serum (n = 5), while metabolomic profiles were assessed using plasma (n = 6), serum (n = 4), or urine (n = 1). Four types of PFAS (perfluorooctane sulfonate (n = 11), perfluorooctanoic acid (n = 10), perfluorohexane sulfonate (n = 9), perfluorononanoic acid (n = 5)) and PFAS mixtures (n = 7) were the most studied. We found that alterations to tryptophan metabolism and the urea cycle were most reported PFAS-associated metabolomic signatures. Numerous lipid metabolites were also suggested to be associated with PFAS exposure, especially key metabolites in glycerophospholipid metabolism which is critical for biological membrane functions, and fatty acids and carnitines which are relevant to the energy supply pathway of fatty acid oxidation. Other important metabolome changes reported included the tricarboxylic acid (TCA) cycle regarding energy generation, and purine and pyrimidine metabolism in cellular energy systems. Conclusions: There is growing interest in using non-targeted metabolomics to study the human physiological changes associated with PFAS exposure. Multiple PFAS were reported to be associated with alterations in amino acid and lipid metabolism, but these results are driven by one predominant type of pathway analysis thus require further confirmation. Standardizing research methods and reporting are recommended to facilitate result comparison. Future studies should consider potential differences in study methodology, use of prospective design, and influence from confounding bias and measurement errors. © 2022","Amino acids; Biomolecules; Cytology; Fatty acids; Liquid chromatography; Mass spectrometry; Metabolites; Organic pollutants; Physiology; Search engines; Urea; Epidemiological studies; Exposome; Human study; Metabolic pathways; Metabolomes; Metabolomics; Non-targeted; Perfluorinated compounds; Polyfluoroalkyl substances; Scoping review; Metabolism; carnitine; fatty acid; glycerophospholipid; perfluorohexanesulfonic acid; perfluorononanoic acid; perfluorooctanesulfonic acid; perfluorooctanoic acid; purine; pyrimidine; tricarboxylic acid; tryptophan; alkanesulfonic acid; fluorocarbon; epidemiology; fatty acid; lipid; metabolism; metabolite; oxidation; persistent organic pollutant; physiology; adolescent; adult; aged; amino acid metabolism; biomembrane; blood analysis; cell energy; citric acid cycle; comparative study; energy resource; environmental exposure; epidemiology; fatty acid oxidation; female; human; lipid metabolism; liquid chromatography-mass spectrometry; male; metabolic regulation; metabolomics; middle aged; pregnant woman; publication; purine metabolism; pyrimidine metabolism; Review; sample size; urea cycle; urinalysis; child; metabolomics; pollutant; pregnancy; prospective study; Adolescent; Adult; Alkanesulfonic Acids; Child; Environmental Pollutants; Female; Fluorocarbons; Humans; Lipid Metabolism; Metabolomics; Pregnancy; Prospective Studies"
"Rosato I., Zare Jeddi M., Ledda C., Gallo E., Fletcher T., Pitter G., Batzella E., Canova C.","How to investigate human health effects related to exposure to mixtures of per- and polyfluoroalkyl substances: A systematic review of statistical methods",2022,"10.1016/j.envres.2021.112565","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121796430&doi=10.1016%2fj.envres.2021.112565&partnerID=40&md5=d51da6fa61001a04e56e0b176b322b3e","Background: Humans are exposed to several per- and polyfluoroalkyl substances (PFAS) daily; however, most previous studies have focused on individual PFAS. Although attention to effects of exposure to mixtures of PFAS has grown in recent years, there is no consensus on the appropriate statistical methods that can be used to assess their combined effect on human health. Objectives: We aim to perform a comprehensive review of the statistical methods used in the existing studies which evaluate the association between exposure to mixtures of PFAS and any adverse human health effect. Methods: The online databases PubMed, Embase and Scopus were searched for eligible studies, published during the last ten years (last search performed on April 08, 2021). Covidence software was used by two different reviewers to perform a title/abstract screening, followed by a full text revision of the selected papers. Results: A total of 3640 papers were identified, and after the screening process, 53 papers were included in the current review. Most of the studies were published between 2019 and 2021 and were conducted mainly in North America and Europe; more than half of the studies (28 out of 53) were conducted on mother and child pairs. WQS (Weighted Quantile Sum) Regression and BKMR (Bayesian Kernel Machine Regression) were used in 36 out of 53 papers to model mixtures’ effects. Health outcomes included in the studies are immunotoxicity (n = 8), fetal development (n = 7), neurodevelopment (n = 9), reproductive hormones (n = 6), thyroid hormones (n = 7), outcomes related to metabolic pathways (n = 16). Conclusion: Studies on human exposure to PFAS as complex mixtures and health consequences have substantially increased in the last few years. Based on our findings, we propose that addressing risk from PFAS mixtures will likely require combinations of approaches and implementation of constantly evolving statistical methods. Specific guidelines and tools for quality assessment and publication of mixture observational studies are warranted. © 2021","alkyl group; environmental chemical; perfluoroalkanoic acid; sex hormone; thyroid hormone; alkanesulfonic acid; fluorocarbon; thyroid hormone; chemical substance; health impact; literature review; pollution exposure; public health; statistical analysis; adolescent; adult; aged; Bayes theorem; child; clinical evaluation; clinical feature; clinical outcome; controlled study; environmental exposure; Europe; female; fetus development; health hazard; homeostasis; hormone metabolism; human; immunotoxicity; k means clustering; least square analysis; male; nerve cell differentiation; nervous system development; North America; outcome assessment; population exposure; Review; risk assessment; structural equation modeling; systematic review; thyroid gland; pollutant; toxicity; Europe; North America; Alkanesulfonic Acids; Bayes Theorem; Child; Environmental Pollutants; Europe; Fluorocarbons; Humans; Thyroid Hormones"
"Moore S., Paalanen L., Melymuk L., Katsonouri A., Kolossa-Gehring M., Tolonen H.","The Association between ADHD and Environmental Chemicals—A Scoping Review",2022,"10.3390/ijerph19052849","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125425846&doi=10.3390%2fijerph19052849&partnerID=40&md5=8f85f972205411fcc18dca4378fc8160","The role of environmental chemicals in the etiology of attention deficit hyperactivity disorder (ADHD) has been of interest in recent research. This scoping review aims to summarize known or possible associations between ADHD and environmental exposures to substances selected as priority chemicals of the European Human Biomonitoring Initiative (HBM4EU). Literature searches were performed in PubMed to identify relevant publications. Only meta-analyses and review articles were included, as they provide more extensive evidence compared to individual studies. The collected evidence indicated that lead (Pb), phthalates and bisphenol A (BPA) are moderately to highly associated with ADHD. Limited evidence exists for an association between ADHD and polycyclic aromatic hydrocarbons (PAHs), flame retardants, mercury (Hg), and pesticides. The evidence of association between ADHD and cadmium (Cd) and per-and polyfluoroalkyl substances (PFASs) based on the identified reviews was low but justified further research. The methods of the individual studies included in the reviews and meta-analyses covered in the current paper varied considerably. Making precise conclusions in terms of the strength of evidence on association between certain chemicals and ADHD was not straightforward. More research is needed for stronger evidence of associations or the lack of an association between specific chemical exposures and ADHD. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","4,4' isopropylidenediphenol; cadmium; environmental chemical; flame retardant; lead; mercury; organofluorine derivative; perfluoroalkyl substance; pesticide; phthalic acid; polycyclic aromatic hydrocarbon; polyfluoroalkyl substance; unclassified drug; flame retardant; mercury; pesticide; chemical pollutant; lead; literature review; mental health; mercury (element); PAH; phenolic compound; pollution effect; pollution exposure; attention deficit hyperactivity disorder; biological monitoring; developmental toxicity; disease association; environmental exposure; environmental factor; human; nervous system development; neurotoxicity; nonhuman; perinatal exposure; prenatal exposure; Review; risk factor; systematic review; adverse event; attention deficit hyperactivity disorder; environmental exposure; Attention Deficit Disorder with Hyperactivity; Biological Monitoring; Environmental Exposure; Flame Retardants; Humans; Mercury; Pesticides"
"Wang J., Zhang J., Fan Y., Li Z., Tao C., Yan W., Niu R., Huang Y., Xu Q., Wang X., Xu Q., Han L., Lu C.","Association between per- and polyfluoroalkyl substances and risk of gestational diabetes mellitus",2022,"10.1016/j.ijheh.2021.113904","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121217025&doi=10.1016%2fj.ijheh.2021.113904&partnerID=40&md5=028f60cc31e19837b0c79ecfb88f2921","Background: Existing evidence suggests that perfluoroalkyl and polyfluoroalkyl substances (PFASs) exposure might contribute to the incidence of gestational diabetes mellitus (GDM). This study aimed to perform a meta-analysis to identify the association between PFAS and the risk of GDM. Methods: We systematically searched PubMed, Ovid, Cochrane Library, and Web of Science databases for appropriate articles about the association between PFASs exposure and the risk of GDM before September 28, 2020. Odds ratios (OR) with 95% confidence intervals (CIs) were summarized by Stata 16.0 through fixed effect models according to heterogeneity. We also carried out subgroup analyses by geographic location, blood sampling time of subjects, method of chemical analysis, study design, sample size, and sampling year. In addition, a sensitivity analysis was conducted to explore the robustness of the results. Results: A total of eight studies involving 5654 pregnant women were included in the meta-analysis. Perfluorooctanoic acid (PFOA) exposure was positively and significantly associated with the risk of GDM (OR = 1.27, 95% CI: 1.02–1.59). Exposure to other types of PFASs such as perfluorooctane sulfonate (PFOS), perfluorohexane sulfonate (PFHxS), perfluorononanoic acid (PFNA) was not statistically significantly associated with the risk of GDM with the pooled effect estimates of 0.97 (95% CI: 0.86–1.09), 1.03 (95% CI: 0.86–1.24), and 0.80 (95% CI: 0.55–1.16) respectively. Conclusion: We conducted a meta-analysis to investigate the association between PFASs exposure and GDM and found that PFOA concentration was significantly associated with a higher risk of GDM, which is of great significance for the prevention and control of GDM in public health. Further studies are needed in order to establish causality and clarify the potential mechanism. © 2021","alkanesulfonic acid; fluorocarbon; cohort analysis; female; human; meta analysis; odds ratio; pollutant; pregnancy; pregnancy diabetes mellitus; Alkanesulfonic Acids; Cohort Studies; Diabetes, Gestational; Environmental Pollutants; Female; Fluorocarbons; Humans; Odds Ratio; Pregnancy"
"Yang Z., Liu H.-Y., Yang Q.-Y., Chen X., Li W., Leng J., Tang N.-J.","Associations between exposure to perfluoroalkyl substances and birth outcomes: A meta-analysis",2022,"10.1016/j.chemosphere.2021.132909","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119277717&doi=10.1016%2fj.chemosphere.2021.132909&partnerID=40&md5=f37f7f1bcb7f196bf802879aac65a5b9","Although previous meta-analyses have shown that prenatal PFASs exposure is associated with reduction in birth weight, effects of prenatal PFASs exposure on birth outcomes have not been fully explored. We conducted a meta-analysis of 23 eligible studies searched from Embase, PubMed, and Web of Science before March 21, 2021 to analyze the association between prenatal PFASs exposure and birth outcomes, including premature birth (PTB), low birth weight (LBW), small for gestational age (SGA) and miscarriage. Odds ratio (OR) and corresponding confidence intervals were extracted for analysis. According to the heterogeneity of the included studies, fixed-effects (I2 ≤ 50%) and random-effects (I2 &gt; 50%) models were applied respectively. The significant associations between PFOS and PTB (pooled OR = 1.54, 95% CI: 1.20–1.98), PFOA and miscarriage (pooled OR = 1.40, 95% CI: 1.15–1.70), and PFOS and LBW (pooled OR = 1.52, 95% CI: 1.19–1.94) were obtained. There were differences between included studies with different study regions, sampling time, and samples type used for PFASs assessment. These findings may provide insight in risk assessment and decision-making in producing products that contain PFASs. © 2021 Elsevier Ltd","Decision making; Random processes; % reductions; Birth outcome; Birth weight; Confidence interval; Gestational age; Low birth weights; Meta-analysis; Odd ratios; Perfluoroalkyl substances; Web of Science; Risk assessment; fluorocarbon; organic compound; perfluoro compound; perfluoroalkyl; unclassified drug; fluorocarbon; birth rate; heterogeneity; meta-analysis; risk assessment; sampling; confidence interval; decision making; diastolic blood pressure; hazard ratio; human; limit of detection; lipid metabolism; low birth weight; meta analysis; newborn; Newcastle-Ottawa scale; odds ratio; outcome assessment; pregnancy outcome; quality control; Review; risk assessment; sensitivity analysis; small for date infant; spontaneous abortion; adverse event; birth weight; female; low birth weight; maternal exposure; pollutant; pregnancy; prematurity; toxicity; Birth Weight; Environmental Pollutants; Female; Fluorocarbons; Humans; Infant, Low Birth Weight; Infant, Newborn; Maternal Exposure; Pregnancy; Premature Birth"
"Kurwadkar S., Dane J., Kanel S.R., Nadagouda M.N., Cawdrey R.W., Ambade B., Struckhoff G.C., Wilkin R.","Per- and polyfluoroalkyl substances in water and wastewater: A critical review of their global occurrence and distribution",2022,"10.1016/j.scitotenv.2021.151003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120439921&doi=10.1016%2fj.scitotenv.2021.151003&partnerID=40&md5=406f158acb7e96839bccf7a2bf18ab48","Per- and polyfluoroalkyl substances (PFAS) are a family of fluorinated organic compounds of anthropogenic origin. Due to their unique chemical properties, widespread production, environmental distribution, long-term persistence, bioaccumulative potential, and associated risks for human health, PFAS have been classified as persistent organic pollutants of significant concern. Scientific evidence from the last several decades suggests that their widespread occurrence in the environment correlates with adverse effects on human health and ecology. The presence of PFAS in the aquatic environment demonstrates a close link between the anthroposphere and the hydrological cycle, and concentrations of PFAS in surface and groundwater range in value along the ng L−1–μg L−1 scale. Here, we critically reviewed the research published in the last decade on the global occurrence and distribution of PFAS in the aquatic environment. Ours is the first paper to critically evaluate the occurrence of PFAS at the continental scale and the evolving global regulatory responses to manage and mitigate the adverse human health risks posed by PFAS. The review reports that PFAS are widespread despite being phased out—they have been detected in different continents irrespective of the level of industrial development. Their occurrence far from the potential sources suggests that long-range atmospheric transport is an important pathway of PFAS distribution. Recently, several studies have investigated the health impacts of PFAS exposure—they have been detected in biota, drinking water, food, air, and human serum. In response to the emerging information about PFAS toxicity, several countries have provided administrative guidelines for PFAS in water, including Canada, the United Kingdom, Sweden, Norway, Germany, and Australia. In the US, additional regulatory measures are under consideration. Further, many PFAS have now been listed as persistent organic pollutants. This comprehensive review provides crucial baseline information on the global occurrence, distribution, and regulatory framework of PFAS. © 2021","Atmospheric movements; Groundwater; Health; Health risks; Potable water; Aquatic environments; Environmental pollutions; Global regulatories; Human health; Occurrence and distribution; Perfluoroalkyl substances; PFOA; PFOS; Polyfluoroalkyl substances; Organic pollutants; alkanesulfonic acid; drinking water; fluorocarbon; human; wastewater; water pollutant; Alkanesulfonic Acids; Drinking Water; Fluorocarbons; Humans; Waste Water; Water Pollutants, Chemical"
"Sun M., Cao X., Wu Y., Shen L., Wei G.","Prenatal exposure to endocrine-disrupting chemicals and thyroid function in neonates: A systematic review and meta-analysis",2022,"10.1016/j.ecoenv.2022.113215","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123061019&doi=10.1016%2fj.ecoenv.2022.113215&partnerID=40&md5=a2568d93620c96342945fd3737b00870","Thyroid hormone homeostasis is essential for normal brain development in fetuses and infants. Exposure to endocrine-disrupting chemicals (EDCs) during pregnancy is associated with compromised maternal thyroid homeostasis, and thus may lead to adverse neurodevelopmental outcomes in newborns. However, evidence regarding the association of prenatal EDC exposure and thyroid hormones in newborns is controversial. Therefore, a meta-analysis to elucidate the relationship between maternal exposure to EDCs and neonatal THs was performed. A systematic search of PubMed, EMBASE, and the Cochrane Library (CENTRAL) for relevant published studies that provided quantitative data on the association between prenatal EDC exposure and neonatal thyroid hormones was conducted in August 2021. To calculate the overall estimates, we pooled the adjusted β regression coefficients with 95% confidence intervals (CIs) from each study by the inverse variance method. The pooling results indicated that prenatal EDC exposure had no significant influence on neonatal TSH, TT3, FT3, TT4 or FT4 level in the global assessment. However, in the specific exposure and outcome assessment, we found that prenatal exposure to organochlorine (β coefficient, −0.022; 95% CI, −0.04 to −0.003) and PFAS (β coefficient, −0.017; 95% CI, −0.033 to 0) was negatively associated with neonatal TT4 level. In conclusion, prenatal exposure to organochlorine and PFAS may be associated with lower neonatal TT4 level. © 2022 The Authors","4 hydroxybenzoic acid ester; endocrine disruptor; flame retardant; liothyronine; metal; organochlorine derivative; organofluorine derivative; organophosphate; phenol; phthalic acid; polycyclic aromatic hydrocarbon; polyfluoroalkyl substance; thyrotropin; thyroxine; unclassified drug; thyroid hormone; endocrine disruptor; homeostasis; hormone; meta-analysis; neonate; organochlorine; pregnancy; Article; ecotoxicity; environmental exposure; human; meta analysis; newborn period; prenatal exposure; risk assessment; risk factor; systematic review; thyroid function; adverse event; female; infant; maternal exposure; newborn; pregnancy; thyroid gland; Endocrine Disruptors; Female; Humans; Infant; Infant, Newborn; Maternal Exposure; Pregnancy; Prenatal Exposure Delayed Effects; Thyroid Gland; Thyroid Hormones"
